TRIAL_CONFIG | trial=11/12 | hidden=128 | bins=16 | lr=0.001
===== GAAP × YELPCHI — UNIFIED 2-EPOCH SMOKE =====
RATIO=TR40 | TRAIN_SEED=2 | SPLIT_SEED=2
AUTHOR_ARCHITECTURE_CHANGED=NO
TEST_USED_FOR_SELECTION=NO
MAX_EPOCHS=100 | PATIENCE=20
CANONICAL_NODES=45954
CANONICAL_FEATURES=32
RELATION_EDGE_ENTRIES=8051348
HOMOGENEOUS_WITH_SELF_LOOPS=8097302
SHARED_YELP_VIEW_GATE=PASS
EXACT_FROZEN_SPLIT_GATE=PASS
The shape of bin-encoded feature is torch.Size([45954, 32])
Processing dataset done!

GAAP_NATIVE_NORM_TYPE=norm01
GAAP_NATIVE_PREPROCESS=None
GAAP_AUTHOR_DATALOADER_GATE=PASS
TEST_LABELS_HIDDEN_DURING_FIT=PASS
GPU available: True (cuda), used: True
TPU available: False, using: 0 TPU cores
HPU available: False, using: 0 HPUs
LOCAL_RANK: 0 - CUDA_VISIBLE_DEVICES: [0]
trial=11/12 | TR40 seed=2 | epoch=060 | loss=0.633372 | valAUPRC=0.873573 | valAUROC=0.962286 | best=0.886642@50 | patience=10/20
trial=11/12 | TR40 seed=2 | epoch=061 | loss=0.076885 | valAUPRC=0.860863 | valAUROC=0.964587 | best=0.886642@50 | patience=11/20
trial=11/12 | TR40 seed=2 | epoch=062 | loss=0.055060 | valAUPRC=0.865014 | valAUROC=0.967114 | best=0.886642@50 | patience=12/20
trial=11/12 | TR40 seed=2 | epoch=063 | loss=0.054939 | valAUPRC=0.872836 | valAUROC=0.965845 | best=0.886642@50 | patience=13/20
trial=11/12 | TR40 seed=2 | epoch=064 | loss=0.045558 | valAUPRC=0.873654 | valAUROC=0.964176 | best=0.886642@50 | patience=14/20
trial=11/12 | TR40 seed=2 | epoch=065 | loss=0.046173 | valAUPRC=0.857077 | valAUROC=0.963316 | best=0.886642@50 | patience=15/20
trial=11/12 | TR40 seed=2 | epoch=066 | loss=0.043970 | valAUPRC=0.878049 | valAUROC=0.966101 | best=0.886642@50 | patience=16/20
trial=11/12 | TR40 seed=2 | epoch=067 | loss=0.039778 | valAUPRC=0.893321 | valAUROC=0.968065 | best=0.893321@67 | patience=0/20
trial=11/12 | TR40 seed=2 | epoch=068 | loss=0.040032 | valAUPRC=0.872369 | valAUROC=0.964875 | best=0.893321@67 | patience=1/20
trial=11/12 | TR40 seed=2 | epoch=069 | loss=0.040478 | valAUPRC=0.269035 | valAUROC=0.742040 | best=0.893321@67 | patience=2/20
trial=11/12 | TR40 seed=2 | epoch=070 | loss=6.655281 | valAUPRC=0.878541 | valAUROC=0.965850 | best=0.893321@67 | patience=3/20
trial=11/12 | TR40 seed=2 | epoch=071 | loss=14.907905 | valAUPRC=0.845364 | valAUROC=0.962285 | best=0.893321@67 | patience=4/20
trial=11/12 | TR40 seed=2 | epoch=072 | loss=0.138909 | valAUPRC=0.875787 | valAUROC=0.961631 | best=0.893321@67 | patience=5/20
trial=11/12 | TR40 seed=2 | epoch=073 | loss=0.390428 | valAUPRC=0.878617 | valAUROC=0.964407 | best=0.893321@67 | patience=6/20
trial=11/12 | TR40 seed=2 | epoch=074 | loss=0.037901 | valAUPRC=0.871036 | valAUROC=0.963406 | best=0.893321@67 | patience=7/20
trial=11/12 | TR40 seed=2 | epoch=075 | loss=0.036942 | valAUPRC=0.868051 | valAUROC=0.965284 | best=0.893321@67 | patience=8/20
trial=11/12 | TR40 seed=2 | epoch=076 | loss=0.040314 | valAUPRC=0.854544 | valAUROC=0.958226 | best=0.893321@67 | patience=9/20
trial=11/12 | TR40 seed=2 | epoch=077 | loss=0.056294 | valAUPRC=0.853181 | valAUROC=0.958986 | best=0.893321@67 | patience=10/20
trial=11/12 | TR40 seed=2 | epoch=078 | loss=2.666601 | valAUPRC=0.874323 | valAUROC=0.967585 | best=0.893321@67 | patience=11/20
trial=11/12 | TR40 seed=2 | epoch=079 | loss=0.032433 | valAUPRC=0.870179 | valAUROC=0.968815 | best=0.893321@67 | patience=12/20
trial=11/12 | TR40 seed=2 | epoch=080 | loss=0.025256 | valAUPRC=0.875697 | valAUROC=0.966406 | best=0.893321@67 | patience=13/20
trial=11/12 | TR40 seed=2 | epoch=081 | loss=0.027659 | valAUPRC=0.874937 | valAUROC=0.966129 | best=0.893321@67 | patience=14/20
trial=11/12 | TR40 seed=2 | epoch=082 | loss=0.027618 | valAUPRC=0.879581 | valAUROC=0.969592 | best=0.893321@67 | patience=15/20
trial=11/12 | TR40 seed=2 | epoch=083 | loss=0.024675 | valAUPRC=0.873697 | valAUROC=0.966993 | best=0.893321@67 | patience=16/20
trial=11/12 | TR40 seed=2 | epoch=084 | loss=0.023460 | valAUPRC=0.890546 | valAUROC=0.969141 | best=0.893321@67 | patience=17/20
trial=11/12 | TR40 seed=2 | epoch=085 | loss=0.024472 | valAUPRC=0.872772 | valAUROC=0.967217 | best=0.893321@67 | patience=18/20
trial=11/12 | TR40 seed=2 | epoch=086 | loss=0.024808 | valAUPRC=0.873872 | valAUROC=0.967635 | best=0.893321@67 | patience=19/20
trial=11/12 | TR40 seed=2 | epoch=087 | loss=0.027404 | valAUPRC=0.872579 | valAUROC=0.967768 | best=0.893321@67 | patience=20/20

===== TRIAL 11/12 FINAL GATE =====
BEST_VAL_AUPRC=0.893321
TRAINING_WALL_SECONDS=1657.131
PEAK_GPU_MEMORY_MB=7185.65
TEST_EVALUATED=NO
TEST_LABEL_ISOLATION=PASS
GAAP_AUTHOR_ARCHITECTURE_CHANGED=NO
GAAP_YELP_TUNING_TRIAL_11=PASS
