==============================================================================
GHRN | tfinance | unified | TR40 | seed 42
==============================================================================
Run ID: ghrn_tfinance_unified_tr40_seed42_t4_20260916T235426Z
Device: cuda:0
Protocol: vast-v4.4  selection=auprc
Deletion ratio: 0.015 (post_aggregation)
Loaded tfinance: 39,357 nodes, 10 features, 1 relation(s)
Split: train 15,742 | valid 7,871 | test 15,744
Graph: 39,357 nodes, 42,484,443 stored directed edges (backend: dgl)
Training fraud/normal: 722/15,020 | fraud weight 20.8033
Parameters: 17,346 trainable
[protocol] WARNING unset identity fields: model_source_commit
------------------------------------------------------------------------------
STAGE 1: training on the unrefined graph (del_ratio = 0)
[stage1_unrefined] epoch  95/100 | loss 0.249167 | train 0.386s | val AUPRC 0.837874 | val AUROC 0.965688 | thr 0.96 | best epoch 93
[stage1_unrefined] epoch  96/100 | loss 0.248670 | train 0.389s | val AUPRC 0.837476 | val AUROC 0.965353 | thr 0.96 | best epoch 93
[stage1_unrefined] epoch  97/100 | loss 0.248344 | train 0.393s | val AUPRC 0.837376 | val AUROC 0.965622 | thr 0.96 | best epoch 93
[stage1_unrefined] epoch  98/100 | loss 0.247765 | train 0.385s | val AUPRC 0.837625 | val AUROC 0.966148 | thr 0.96 | best epoch 93
[stage1_unrefined] epoch  99/100 | loss 0.247270 | train 0.388s | val AUPRC 0.837783 | val AUROC 0.966502 | thr 0.96 | best epoch 93
[stage1_unrefined] epoch 100/100 | loss 0.246951 | train 0.387s | val AUPRC 0.838025 | val AUROC 0.966464 | thr 0.96 | best epoch 93
------------------------------------------------------------------------------
STAGE 2: refining the graph (del_ratio = 0.015) and retraining
/kaggle/working/comp8851/models/ghrn/scripts/run_one.py:398: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  model.load_state_dict(torch.load(stage1["checkpoint"], map_location=device))
Edges 42,484,443 -> 41,847,177 (637,266 removed)
Training-edge heterophily 0.030429 -> 0.028886
[stage2_refined] epoch   1/100 | loss 142.728134 | train 0.474s | val AUPRC 0.088153 | val AUROC 0.521843 | thr 0.50 | best epoch 1
[stage2_refined] epoch   2/100 | loss 736.690247 | train 0.404s | val AUPRC 0.196441 | val AUROC 0.652759 | thr 0.02 | best epoch 2
[stage2_refined] epoch   3/100 | loss 260.680450 | train 0.395s | val AUPRC 0.070387 | val AUROC 0.680717 | thr 0.99 | best epoch 2
[stage2_refined] epoch   4/100 | loss 175.275787 | train 0.404s | val AUPRC 0.083124 | val AUROC 0.730860 | thr 0.99 | best epoch 2
[stage2_refined] epoch   5/100 | loss 107.830894 | train 0.401s | val AUPRC 0.168106 | val AUROC 0.840486 | thr 0.99 | best epoch 2
[stage2_refined] epoch   6/100 | loss 57.341656 | train 0.393s | val AUPRC 0.307630 | val AUROC 0.860644 | thr 0.98 | best epoch 6
[stage2_refined] epoch   7/100 | loss 71.755547 | train 0.390s | val AUPRC 0.370660 | val AUROC 0.852298 | thr 0.97 | best epoch 7
[stage2_refined] epoch   8/100 | loss 75.503929 | train 0.392s | val AUPRC 0.402895 | val AUROC 0.868389 | thr 0.90 | best epoch 8
[stage2_refined] epoch   9/100 | loss 61.463234 | train 0.387s | val AUPRC 0.351856 | val AUROC 0.882352 | thr 0.99 | best epoch 8
[stage2_refined] epoch  10/100 | loss 41.735847 | train 0.387s | val AUPRC 0.229326 | val AUROC 0.865500 | thr 0.99 | best epoch 8
[stage2_refined] epoch  11/100 | loss 25.601830 | train 0.390s | val AUPRC 0.129319 | val AUROC 0.815726 | thr 0.99 | best epoch 8
[stage2_refined] epoch  12/100 | loss 19.466793 | train 0.392s | val AUPRC 0.086328 | val AUROC 0.740965 | thr 0.99 | best epoch 8
[stage2_refined] epoch  13/100 | loss 25.039825 | train 0.385s | val AUPRC 0.082071 | val AUROC 0.727781 | thr 0.99 | best epoch 8
[stage2_refined] epoch  14/100 | loss 23.066900 | train 0.385s | val AUPRC 0.113775 | val AUROC 0.803156 | thr 0.99 | best epoch 8
[stage2_refined] epoch  15/100 | loss 12.477207 | train 0.385s | val AUPRC 0.166823 | val AUROC 0.855037 | thr 0.99 | best epoch 8
[stage2_refined] epoch  16/100 | loss 8.003670 | train 0.374s | val AUPRC 0.324555 | val AUROC 0.897545 | thr 0.99 | best epoch 8
[stage2_refined] epoch  17/100 | loss 6.458506 | train 0.372s | val AUPRC 0.489811 | val AUROC 0.911500 | thr 0.99 | best epoch 17
[stage2_refined] epoch  18/100 | loss 6.272624 | train 0.372s | val AUPRC 0.580686 | val AUROC 0.912746 | thr 0.99 | best epoch 18
[stage2_refined] epoch  19/100 | loss 6.265149 | train 0.369s | val AUPRC 0.614798 | val AUROC 0.913033 | thr 0.99 | best epoch 19
[stage2_refined] epoch  20/100 | loss 5.735699 | train 0.368s | val AUPRC 0.627876 | val AUROC 0.916237 | thr 0.99 | best epoch 20
[stage2_refined] epoch  21/100 | loss 4.640549 | train 0.367s | val AUPRC 0.566243 | val AUROC 0.918335 | thr 0.99 | best epoch 20
[stage2_refined] epoch  22/100 | loss 3.424227 | train 0.367s | val AUPRC 0.465918 | val AUROC 0.919958 | thr 0.99 | best epoch 20
[stage2_refined] epoch  23/100 | loss 2.346747 | train 0.368s | val AUPRC 0.394633 | val AUROC 0.928713 | thr 0.99 | best epoch 20
[stage2_refined] epoch  24/100 | loss 2.069382 | train 0.365s | val AUPRC 0.300795 | val AUROC 0.915114 | thr 0.99 | best epoch 20
[stage2_refined] epoch  25/100 | loss 2.321843 | train 0.369s | val AUPRC 0.607210 | val AUROC 0.949807 | thr 0.99 | best epoch 20
[stage2_refined] epoch  26/100 | loss 1.146726 | train 0.365s | val AUPRC 0.624369 | val AUROC 0.942001 | thr 0.99 | best epoch 20
[stage2_refined] epoch  27/100 | loss 1.392052 | train 0.362s | val AUPRC 0.639299 | val AUROC 0.939173 | thr 0.99 | best epoch 27
[stage2_refined] epoch  28/100 | loss 1.528214 | train 0.362s | val AUPRC 0.633455 | val AUROC 0.938616 | thr 0.99 | best epoch 27
[stage2_refined] epoch  29/100 | loss 1.495832 | train 0.359s | val AUPRC 0.630209 | val AUROC 0.940219 | thr 0.99 | best epoch 27
[stage2_refined] epoch  30/100 | loss 1.327147 | train 0.359s | val AUPRC 0.615894 | val AUROC 0.943341 | thr 0.99 | best epoch 27
[stage2_refined] epoch  31/100 | loss 1.091789 | train 0.361s | val AUPRC 0.598174 | val AUROC 0.946774 | thr 0.99 | best epoch 27
[stage2_refined] epoch  32/100 | loss 0.891050 | train 0.359s | val AUPRC 0.495465 | val AUROC 0.938228 | thr 0.99 | best epoch 27
[stage2_refined] epoch  33/100 | loss 1.075428 | train 0.358s | val AUPRC 0.579683 | val AUROC 0.946959 | thr 0.99 | best epoch 27
[stage2_refined] epoch  34/100 | loss 0.732390 | train 0.359s | val AUPRC 0.731214 | val AUROC 0.948104 | thr 0.99 | best epoch 34
