==============================================================================
GHRN | elliptic | unified | TR40 | seed 42
==============================================================================
Run ID: ghrn_elliptic_unified_tr40_seed42_a6000_20260913T194138Z
Device: cuda:0
Protocol: vast-v4.4  selection=auprc
Deletion ratio: 0.03 (post_aggregation)
/venv/main/lib/python3.12/site-packages/scipy/sparse/_index.py:145: SparseEfficiencyWarning: Changing the sparsity structure of a csr_matrix is expensive. lil_matrix is more efficient.
  self._set_arrayXarray(i, j, x)
Loaded elliptic: 203,769 nodes, 166 features, 1 relation(s)
Split: train 18,626 | valid 9,313 | test 18,625
Graph: 203,769 nodes, 672,479 stored directed edges (backend: dgl)
Training fraud/normal: 1,669/16,957 | fraud weight 10.1600
Parameters: 27,330 trainable
[protocol] WARNING unset identity fields: model_source_commit
------------------------------------------------------------------------------
STAGE 1: training on the unrefined graph (del_ratio = 0)
[stage2_refined] epoch  44/100 | loss 0.069884 | train 0.026s | val AUPRC 0.675978 | val AUROC 0.852870 | thr 0.92 | best epoch 44
[stage2_refined] epoch  45/100 | loss 0.066927 | train 0.026s | val AUPRC 0.678753 | val AUROC 0.852617 | thr 0.89 | best epoch 45
[stage2_refined] epoch  46/100 | loss 0.064626 | train 0.026s | val AUPRC 0.680923 | val AUROC 0.852473 | thr 0.87 | best epoch 46
[stage2_refined] epoch  47/100 | loss 0.062303 | train 0.026s | val AUPRC 0.682782 | val AUROC 0.852510 | thr 0.92 | best epoch 47
[stage2_refined] epoch  48/100 | loss 0.059538 | train 0.026s | val AUPRC 0.684600 | val AUROC 0.852485 | thr 0.94 | best epoch 48
[stage2_refined] epoch  49/100 | loss 0.057496 | train 0.026s | val AUPRC 0.687875 | val AUROC 0.852362 | thr 0.95 | best epoch 49
[stage2_refined] epoch  50/100 | loss 0.055259 | train 0.026s | val AUPRC 0.690904 | val AUROC 0.852075 | thr 0.93 | best epoch 50
[stage2_refined] epoch  51/100 | loss 0.052976 | train 0.026s | val AUPRC 0.693583 | val AUROC 0.851832 | thr 0.92 | best epoch 51
[stage2_refined] epoch  52/100 | loss 0.051128 | train 0.026s | val AUPRC 0.695312 | val AUROC 0.851784 | thr 0.93 | best epoch 52
[stage2_refined] epoch  53/100 | loss 0.048785 | train 0.026s | val AUPRC 0.696965 | val AUROC 0.851719 | thr 0.94 | best epoch 53
[stage2_refined] epoch  54/100 | loss 0.046901 | train 0.026s | val AUPRC 0.698566 | val AUROC 0.851521 | thr 0.93 | best epoch 54
