==============================================================================
GHRN | amazon | unified | TR40 | seed 42
==============================================================================
Run ID: ghrn_amazon_unified_tr40_seed42_a6000_20260913T232200Z
Device: cuda:0
Protocol: vast-v4.4  selection=auprc
Deletion ratio: 0.015 (post_aggregation)
/venv/main/lib/python3.12/site-packages/scipy/sparse/_index.py:145: SparseEfficiencyWarning: Changing the sparsity structure of a csr_matrix is expensive. lil_matrix is more efficient.
  self._set_arrayXarray(i, j, x)
Loaded amazon: 11,944 nodes, 25 features, 3 relation(s)
[compatibility] NOTE amazon is multi-relational; GHRN is a homogeneous spectral method and receives the frozen union view. Record this pair as PASS_WITH_SHARED_ADAPTER (A1).
Split: train 3,455 | valid 1,728 | test 3,456
Graph: 11,944 nodes, 8,847,096 stored directed edges (backend: dgl)
Training fraud/normal: 328/3,127 | fraud weight 9.5335
Parameters: 18,306 trainable
[protocol] WARNING unset identity fields: model_source_commit
------------------------------------------------------------------------------
STAGE 1: training on the unrefined graph (del_ratio = 0)
[stage2_refined] epoch   7/100 | loss 9.624621 | train 0.015s | val AUPRC 0.251491 | val AUROC 0.815449 | thr 0.89 | best epoch 3
[stage2_refined] epoch   8/100 | loss 6.332348 | train 0.015s | val AUPRC 0.543550 | val AUROC 0.878573 | thr 0.15 | best epoch 3
[stage2_refined] epoch   9/100 | loss 5.075143 | train 0.015s | val AUPRC 0.721107 | val AUROC 0.890704 | thr 0.04 | best epoch 9
[stage2_refined] epoch  10/100 | loss 6.497743 | train 0.015s | val AUPRC 0.734631 | val AUROC 0.883764 | thr 0.50 | best epoch 10
[stage2_refined] epoch  11/100 | loss 6.294942 | train 0.015s | val AUPRC 0.751792 | val AUROC 0.886341 | thr 0.70 | best epoch 11
[stage2_refined] epoch  12/100 | loss 5.045781 | train 0.015s | val AUPRC 0.765650 | val AUROC 0.889300 | thr 0.99 | best epoch 12
[stage2_refined] epoch  13/100 | loss 3.683960 | train 0.015s | val AUPRC 0.774800 | val AUROC 0.891347 | thr 0.99 | best epoch 13
[stage2_refined] epoch  14/100 | loss 2.303383 | train 0.015s | val AUPRC 0.716419 | val AUROC 0.892499 | thr 0.99 | best epoch 13
[stage2_refined] epoch  15/100 | loss 1.316250 | train 0.015s | val AUPRC 0.466285 | val AUROC 0.866417 | thr 0.99 | best epoch 13
[stage2_refined] epoch  16/100 | loss 2.665683 | train 0.015s | val AUPRC 0.543890 | val AUROC 0.874903 | thr 0.99 | best epoch 13
[stage2_refined] epoch  17/100 | loss 1.904538 | train 0.015s | val AUPRC 0.752585 | val AUROC 0.891706 | thr 0.99 | best epoch 13
[stage2_refined] epoch  18/100 | loss 0.929175 | train 0.015s | val AUPRC 0.771407 | val AUROC 0.887911 | thr 0.99 | best epoch 13
[stage2_refined] epoch  19/100 | loss 1.062395 | train 0.015s | val AUPRC 0.781840 | val AUROC 0.892443 | thr 0.99 | best epoch 19
[stage2_refined] epoch  20/100 | loss 1.155408 | train 0.015s | val AUPRC 0.786621 | val AUROC 0.898536 | thr 0.99 | best epoch 20
[stage2_refined] epoch  21/100 | loss 1.069559 | train 0.015s | val AUPRC 0.791947 | val AUROC 0.907160 | thr 0.99 | best epoch 21
[stage2_refined] epoch  22/100 | loss 0.841444 | train 0.016s | val AUPRC 0.811513 | val AUROC 0.931167 | thr 0.98 | best epoch 22
[stage2_refined] epoch  23/100 | loss 0.533557 | train 0.015s | val AUPRC 0.790406 | val AUROC 0.937839 | thr 0.96 | best epoch 22
[stage2_refined] epoch  24/100 | loss 0.457769 | train 0.015s | val AUPRC 0.711227 | val AUROC 0.920513 | thr 0.99 | best epoch 22
[stage2_refined] epoch  25/100 | loss 0.672388 | train 0.015s | val AUPRC 0.764636 | val AUROC 0.926964 | thr 0.98 | best epoch 22
[stage2_refined] epoch  26/100 | loss 0.473441 | train 0.015s | val AUPRC 0.810379 | val AUROC 0.934533 | thr 0.98 | best epoch 22
[stage2_refined] epoch  27/100 | loss 0.398889 | train 0.015s | val AUPRC 0.798572 | val AUROC 0.916958 | thr 0.58 | best epoch 22
[stage2_refined] epoch  28/100 | loss 0.501102 | train 0.015s | val AUPRC 0.794158 | val AUROC 0.912852 | thr 0.59 | best epoch 22
[stage2_refined] epoch  29/100 | loss 0.506935 | train 0.015s | val AUPRC 0.790732 | val AUROC 0.913075 | thr 0.64 | best epoch 22
[stage2_refined] epoch  30/100 | loss 0.449916 | train 0.015s | val AUPRC 0.782027 | val AUROC 0.919001 | thr 0.77 | best epoch 22
[stage2_refined] epoch  31/100 | loss 0.359142 | train 0.015s | val AUPRC 0.733023 | val AUROC 0.911114 | thr 0.99 | best epoch 22
[stage2_refined] epoch  32/100 | loss 0.497501 | train 0.015s | val AUPRC 0.772600 | val AUROC 0.916566 | thr 0.99 | best epoch 22
[stage2_refined] epoch  33/100 | loss 0.410493 | train 0.015s | val AUPRC 0.790558 | val AUROC 0.918088 | thr 0.70 | best epoch 22
[stage2_refined] epoch  34/100 | loss 0.348741 | train 0.015s | val AUPRC 0.789707 | val AUROC 0.915414 | thr 0.60 | best epoch 22
[stage2_refined] epoch  35/100 | loss 0.387578 | train 0.015s | val AUPRC 0.793575 | val AUROC 0.916174 | thr 0.59 | best epoch 22
[stage2_refined] epoch  36/100 | loss 0.386626 | train 0.015s | val AUPRC 0.800157 | val AUROC 0.924373 | thr 0.59 | best epoch 22
[stage2_refined] epoch  37/100 | loss 0.343238 | train 0.015s | val AUPRC 0.806369 | val AUROC 0.937566 | thr 0.73 | best epoch 22
[stage2_refined] epoch  38/100 | loss 0.296939 | train 0.015s | val AUPRC 0.790257 | val AUROC 0.939317 | thr 0.99 | best epoch 22
[stage2_refined] epoch  39/100 | loss 0.339906 | train 0.015s | val AUPRC 0.799483 | val AUROC 0.943196 | thr 0.99 | best epoch 22
