==============================================================================
GHRN | fdcompcn | unified | TR40 | seed 2
==============================================================================
Run ID: ghrn_fdcompcn_unified_tr40_seed2_a6000_20260913T233929Z
Device: cuda:0
Protocol: vast-v4.4  selection=auprc
Deletion ratio: 0.03 (post_aggregation)
/venv/main/lib/python3.12/site-packages/scipy/sparse/_index.py:145: SparseEfficiencyWarning: Changing the sparsity structure of a csr_matrix is expensive. lil_matrix is more efficient.
  self._set_arrayXarray(i, j, x)
Loaded fdcompcn: 5,317 nodes, 57 features, 4 relation(s)
[compatibility] NOTE fdcompcn is multi-relational; GHRN is a homogeneous spectral method and receives the frozen union view. Record this pair as PASS_WITH_SHARED_ADAPTER (A1).
Split: train 2,126 | valid 1,063 | test 2,128
Graph: 5,317 nodes, 12,585 stored directed edges (backend: dgl)
Training fraud/normal: 224/1,902 | fraud weight 8.4911
Parameters: 73,474 trainable
[protocol] WARNING unset identity fields: model_source_commit
------------------------------------------------------------------------------
STAGE 1: training on the unrefined graph (del_ratio = 0)
[stage1_unrefined] epoch  87/100 | loss 0.669026 | train 0.012s | val AUPRC 0.171193 | val AUROC 0.596496 | thr 0.58 | best epoch 86
[stage1_unrefined] epoch  88/100 | loss 0.668680 | train 0.012s | val AUPRC 0.172245 | val AUROC 0.596975 | thr 0.57 | best epoch 88
[stage1_unrefined] epoch  89/100 | loss 0.668207 | train 0.011s | val AUPRC 0.175061 | val AUROC 0.597623 | thr 0.58 | best epoch 89
[stage1_unrefined] epoch  90/100 | loss 0.667802 | train 0.011s | val AUPRC 0.174527 | val AUROC 0.598224 | thr 0.57 | best epoch 89
[stage1_unrefined] epoch  91/100 | loss 0.667400 | train 0.010s | val AUPRC 0.176073 | val AUROC 0.599810 | thr 0.57 | best epoch 91
[stage1_unrefined] epoch  92/100 | loss 0.666893 | train 0.011s | val AUPRC 0.177576 | val AUROC 0.601059 | thr 0.58 | best epoch 92
[stage1_unrefined] epoch  93/100 | loss 0.666440 | train 0.010s | val AUPRC 0.175686 | val AUROC 0.601425 | thr 0.57 | best epoch 92
[stage1_unrefined] epoch  94/100 | loss 0.666009 | train 0.010s | val AUPRC 0.179345 | val AUROC 0.602439 | thr 0.58 | best epoch 94
[stage1_unrefined] epoch  95/100 | loss 0.665498 | train 0.011s | val AUPRC 0.177453 | val AUROC 0.602871 | thr 0.58 | best epoch 94
[stage1_unrefined] epoch  96/100 | loss 0.664970 | train 0.011s | val AUPRC 0.177395 | val AUROC 0.603716 | thr 0.58 | best epoch 94
[stage1_unrefined] epoch  97/100 | loss 0.664467 | train 0.011s | val AUPRC 0.179937 | val AUROC 0.604575 | thr 0.58 | best epoch 97
[stage1_unrefined] epoch  98/100 | loss 0.663961 | train 0.011s | val AUPRC 0.178220 | val AUROC 0.604702 | thr 0.57 | best epoch 97
[stage1_unrefined] epoch  99/100 | loss 0.663408 | train 0.011s | val AUPRC 0.181684 | val AUROC 0.605735 | thr 0.58 | best epoch 99
[stage1_unrefined] epoch 100/100 | loss 0.662850 | train 0.011s | val AUPRC 0.178987 | val AUROC 0.606195 | thr 0.57 | best epoch 99
------------------------------------------------------------------------------
STAGE 2: refining the graph (del_ratio = 0.03) and retraining
/workspace/COMP8851-fraud-dataset-analysis-main/models/ghrn/scripts/run_one.py:398: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  model.load_state_dict(torch.load(stage1["checkpoint"], map_location=device))
Edges 12,585 -> 12,208 (377 removed)
Training-edge heterophily 0.115789 -> 0.116034
[stage2_refined] epoch   1/100 | loss 0.694404 | train 0.012s | val AUPRC 0.115517 | val AUROC 0.520289 | thr 0.51 | best epoch 1
[stage2_refined] epoch   2/100 | loss 0.692133 | train 0.011s | val AUPRC 0.128452 | val AUROC 0.544399 | thr 0.52 | best epoch 2
[stage2_refined] epoch   3/100 | loss 0.690555 | train 0.011s | val AUPRC 0.134525 | val AUROC 0.556811 | thr 0.55 | best epoch 3
[stage2_refined] epoch   4/100 | loss 0.689578 | train 0.011s | val AUPRC 0.135356 | val AUROC 0.571194 | thr 0.56 | best epoch 4
[stage2_refined] epoch   5/100 | loss 0.688926 | train 0.011s | val AUPRC 0.136834 | val AUROC 0.579681 | thr 0.56 | best epoch 5
[stage2_refined] epoch   6/100 | loss 0.688443 | train 0.011s | val AUPRC 0.137732 | val AUROC 0.584629 | thr 0.56 | best epoch 6
[stage2_refined] epoch   7/100 | loss 0.687933 | train 0.011s | val AUPRC 0.140028 | val AUROC 0.590478 | thr 0.56 | best epoch 7
[stage2_refined] epoch   8/100 | loss 0.687433 | train 0.011s | val AUPRC 0.141520 | val AUROC 0.593182 | thr 0.56 | best epoch 8
[stage2_refined] epoch   9/100 | loss 0.686914 | train 0.011s | val AUPRC 0.144171 | val AUROC 0.596261 | thr 0.56 | best epoch 9
