model,dataset,ratio,split_seed,train_seed,gpu,auprc,auroc,macro_f1,fraud_f1,fraud_precision,fraud_recall,gmean,accuracy,threshold,best_epoch,epochs,mean_epoch_s,peak_gpu_mb,params
GHRN,Amazon,TR40,2,72,NVIDIA RTX A6000,0.878835322007707,0.9686007642039186,0.9236969374097219,0.8608837970540099,0.9326241134751773,0.7993920972644377,0.8913668727959838,0.9754050925925926,0.91,59.0,180.0,0.017013786169829674,1184.193359375,18306.0
GHRN,T-Finance,TR40,2,2,Tesla T4,0.44481896126769394,0.8333786483471529,0.7838076178722369,0.5868945868945868,0.6032210834553441,0.5714285714285714,0.7490798138454735,0.963160569105691,0.15,9.0,130.0,0.3563028785307709,5570.572265625,17346.0
GHRN,T-Finance,TR40,2,42,Tesla T4,0.8392454873174856,0.9523344371732184,0.8899332582361636,0.7891156462585034,0.867109634551495,0.723994452149792,0.8486100753622242,0.9822789634146342,0.96,99.0,200.0,0.3622924680150163,5570.572265625,17346.0
GHRN,T-Finance,TR40,2,72,Tesla T4,0.7450211660646441,0.9446831086462617,0.8517501297547285,0.7174645987862441,0.6981627296587927,0.7378640776699029,0.8523892791776913,0.9733866869918699,0.99,39.0,160.0,0.3719858424500188,5570.572265625,17346.0
GHRN,Elliptic,TR40,2,2,NVIDIA RTX A6000,0.4390096565894688,0.8884634208638087,0.737383447360131,0.529997447025785,0.4152,0.7325335215243473,0.8187167516049587,0.9011543624161074,0.96,64.0,163.0,0.02834544006158009,725.17236328125,27330.0
GHRN,Elliptic,TR40,2,42,NVIDIA RTX A6000,0.500640480069645,0.8904222060146978,0.7414627880045698,0.5366735537190083,0.42321792260692465,0.7332392378263938,0.8203066223418982,0.9036778523489933,0.97,99.0,142.0,0.028833484711637065,725.17236328125,27330.0
GHRN,Elliptic,TR40,2,72,NVIDIA RTX A6000,0.5536071140130173,0.8943351010690077,0.7064771897695993,0.48360472897613205,0.35355512067840833,0.7649964714184898,0.8227301824722,0.8757046979865771,0.97,85.0,178.0,0.02825200574418917,725.17236328125,27330.0
GHRN,FDCompCN,TR40,2,2,NVIDIA RTX A6000,0.12255251356442695,0.5506032037475136,0.5098172732885392,0.10140845070422536,0.13636363636363635,0.08071748878923767,0.2754762256120131,0.8500939849624061,0.58,25.0,146.0,0.013151842746756051,48.62451171875,73474.0
GHRN,FDCompCN,TR40,2,42,NVIDIA RTX A6000,0.11673882958258655,0.5500735614326236,0.49889621555823105,0.1157684630738523,0.10431654676258993,0.13004484304932734,0.3362244126920648,0.7918233082706767,0.56,31.0,105.0,0.013592187459913216,48.62451171875,73474.0
GHRN,FDCompCN,TR40,2,72,NVIDIA RTX A6000,0.12176571737414721,0.5569494956628179,0.5002518557244275,0.07213114754098361,0.13414634146341464,0.04932735426008968,0.21791949645674283,0.8670112781954887,0.58,26.0,91.0,0.013589599056573646,48.62451171875,73474.0
